,d,Share,Run,Price
0,2020-05-01,45.0619601952685,0,26.63
1,2020-04-24,44.96065942300487,0,26.69
2,2020-04-17,44.6096654275093,0,26.9
3,2020-04-09,45.62737642585551,0,26.3
4,2020-04-02,48.36759371221282,0,24.81
5,2020-04-30,44.37869822485207,1,27.04
6,2020-04-23,45.31722054380665,1,26.48
7,2020-04-16,45.248868778280546,1,26.52
8,2020-04-08,46.15384615384615,1,26.0
9,2020-04-01,49.079754601226995,1,24.45
10,2020-04-29,44.10143329658214,2,27.21
11,2020-04-22,45.35147392290249,2,26.46
12,2020-04-15,45.50625711035267,2,26.37
13,2020-04-07,47.05882352941177,2,25.5
14,2020-03-31,47.84688995215311,2,25.08
15,2020-04-28,44.6927374301676,3,26.85
16,2020-04-21,45.94180704441041,3,26.12
17,2020-04-14,45.028142589118204,3,26.65
18,2020-04-06,47.02194357366771,3,25.52
19,2020-03-30,47.56242568370987,3,25.23
20,2020-04-27,44.62625511342507,4,26.89
21,2020-04-20,45.146726862302486,4,26.58
22,2020-04-13,45.854031333588075,4,26.17
23,2020-04-03,48.721071863581,4,24.63
24,2020-03-27,48.484848484848484,4,24.75
25,2020-04-24,44.96065942300487,5,26.69
26,2020-04-17,44.6096654275093,5,26.9
27,2020-04-09,45.62737642585551,5,26.3
28,2020-04-02,48.36759371221282,5,24.81
29,2020-03-26,47.60015866719556,5,25.21
30,2020-04-23,45.31722054380665,6,26.48
31,2020-04-16,45.248868778280546,6,26.52
32,2020-04-08,46.15384615384615,6,26.0
33,2020-04-01,49.079754601226995,6,24.45
34,2020-03-25,49.52538175815105,6,24.23
35,2020-04-22,45.35147392290249,7,26.46
36,2020-04-15,45.50625711035267,7,26.37
37,2020-04-07,47.05882352941177,7,25.5
38,2020-03-31,47.84688995215311,7,25.08
39,2020-03-24,50.272308336824466,7,23.87
40,2020-04-21,45.94180704441041,8,26.12
41,2020-04-14,45.028142589118204,8,26.65
42,2020-04-06,47.02194357366771,8,25.52
43,2020-03-30,47.56242568370987,8,25.23
44,2020-03-23,52.747252747252745,8,22.75
45,2020-04-20,45.146726862302486,9,26.58
46,2020-04-13,45.854031333588075,9,26.17
47,2020-04-03,48.721071863581,9,24.63
48,2020-03-27,48.484848484848484,9,24.75
49,2020-03-20,52.2420548541576,9,22.97
50,2020-04-17,44.6096654275093,10,26.9
51,2020-04-09,45.62737642585551,10,26.3
52,2020-04-02,48.36759371221282,10,24.81
53,2020-03-26,47.60015866719556,10,25.21
